,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2022-08-10,0.1462995712912379
2022-08-11,0.14550785545804737
2022-08-12,0.14426355007416114
2022-08-15,0.14188417205594148
2022-08-16,0.13788957930170068
2022-08-17,0.13395479386718492
2022-08-18,0.13808603796184465
2022-08-19,0.13712173481983078
2022-08-22,0.133847633673517
2022-08-23,0.13284779922904258
2022-08-24,0.13750771411088178
2022-08-25,0.17261291956281835
2022-08-26,0.1701679123689305
2022-08-29,0.16631477264512615
2022-08-30,0.17166693100303274
2022-08-31,0.16654651242220594
2022-09-01,0.1626631316555783
2022-09-02,0.16420618867752823
2022-09-06,0.16392433742431295
2022-09-07,0.15995927981833377
2022-09-08,0.15891246647132504
2022-09-09,0.17675186335651458
2022-09-12,0.1762402133453089
2022-09-13,0.2141729394671512
2022-09-14,0.20583146698209195
2022-09-15,0.19807467682669586
2022-09-16,0.19245763897543794
2022-09-19,0.18547818739679336
2022-09-20,0.17867814639737004
2022-09-21,0.17829807402212733
2022-09-22,0.18013754744638888
2022-09-23,0.1799630162005516
2022-09-26,0.17704980316283891
2022-09-27,0.18551058837705195
2022-09-28,0.18520768666553772
2022-09-29,0.20711986964074694
2022-09-30,0.19895344078452123
2022-10-03,0.20293712819491658
2022-10-04,0.2143863894933631
2022-10-05,0.21461864970221015
2022-10-06,0.20746135543758507
2022-10-07,0.2057327032826818
2022-10-10,0.2112128177928603
2022-10-11,0.2089024920866192
2022-10-12,0.2046815731813687
2022-10-13,0.19723256729049593
2022-10-14,0.22475707686299892
2022-10-17,0.23085060623702075
2022-10-18,0.2235102521138572
2022-10-19,0.21838194156110988
2022-10-20,0.2096523121742281
2022-10-21,0.2041735115043085
2022-10-24,0.3354046475527732
2022-10-25,0.3252463140452171
2022-10-26,0.3185262626534899
2022-10-27,0.3052506884513121
2022-10-28,0.30079025715604557
2022-10-31,0.2976977742610784
2022-11-01,0.331166242844889
2022-11-02,0.31985746763206885
2022-11-03,0.30613394715385617
2022-11-04,0.3724715044134249
2022-11-07,0.35904027573518826
2022-11-08,0.3442826507391855
2022-11-09,0.34045842036877283
2022-11-10,0.36571155683133666
2022-11-11,0.41638207742408895
2022-11-14,0.3991903756354855
2022-11-15,0.39145680221449725
2022-11-16,0.37663560426491816
2022-11-17,0.3633055837721188
2022-11-18,0.35506728601773496
2022-11-21,0.3438973160697827
2022-11-22,0.3285115395233476
2022-11-23,0.31391862385019464
2022-11-25,0.30288494449212894
2022-11-28,0.29024062155391
2022-11-29,0.30841394910087966
